6,7,8,9,10,11,12,13,14,15
0.002,0.009,0.028,0.071,0.151,0.427,1.404,4.322,13.789,42.588
0.002,0.009,0.026,0.064,0.154,0.505,1.398,4.403,13.789,43.58
0.003,0.004,0.019,0.047,0.132,0.448,1.362,4.28,13.661,43.324
0.001,0.005,0.024,0.058,0.194,0.437,1.479,5.037,13.865,43.106
0.001,0.004,0.013,0.042,0.132,0.424,1.416,4.405,13.638,41.532
0.001,0.009,0.013,0.042,0.174,0.464,1.456,4.41,13.468,43.504
0.003,0.008,0.021,0.056,0.141,0.45,1.407,4.568,14.274,44.848
0.001,0.003,0.013,0.043,0.135,0.436,1.347,4.491,14.106,45.377
0.001,0.006,0.021,0.048,0.136,0.441,1.389,4.499,14.437,44.135
0.003,0.008,0.02,0.047,0.132,0.495,1.42,4.329,14.355,41.22
0.002,0.007,0.015,0.047,0.132,0.494,1.404,4.322,13.802,44.41
0.001,0.004,0.012,0.044,0.136,0.463,1.518,4.322,14.558,